"YEAR","SERIAL","MONTH","HWTFINL","CPSID","STATEFIP","PERNUM","WTFINL","CPSIDP","CPSIDV","RACE","HISPAN","VOTED","VOREG","VOYNOTREG","VOWHYNOT"
2006,3331,11,1546.2326,20060803978100,32,1,1546.2326,20060803978101,200608039781011,200,0,1,2,99,10
2006,3332,11,1238.4882,20061005925100,32,1,1238.4882,20061005925101,200610059251011,100,0,1,1,3,99
2006,3332,11,1238.4882,20061005925100,32,2,1210.1302,20061005925102,200610059251021,100,0,1,2,99,5
2006,3332,11,1238.4882,20061005925100,32,3,1229.848,20061005925103,200610059251031,100,100,1,1,3,99
2006,3334,11,895.061,20050805893800,32,1,895.061,20050805893801,200508058938011,100,0,2,99,99,99
2006,3335,11,936.0907,20050805270500,32,1,936.0907,20050805270501,200508052705011,100,0,2,99,99,99
2006,3335,11,936.0907,20050805270500,32,2,1026.7529,20050805270503,200508052705031,100,0,2,99,99,99
2006,3335,11,936.0907,20050805270500,32,3,1006.729,20050805270504,200508052705041,100,0,99,99,99,99
2006,3336,11,1279.3157,20050906592700,32,1,1279.3157,20050906592701,200509065927011,100,100,1,1,6,99
2006,3338,11,1214.2442,20050905729300,32,1,1214.2442,20050905729301,200509057293011,651,0,1,1,4,99
2006,3339,11,1168.3517,20050903352500,32,1,1168.3517,20050903352501,200509033525011,100,0,1,1,4,99
2006,3339,11,1168.3517,20050903352500,32,2,1226.3248,20050903352502,200509033525021,100,0,99,99,99,99
2006,3339,11,1168.3517,20050903352500,32,3,1188.1016,20050903352503,200509033525031,100,0,99,99,99,99
2006,3340,11,1158.7032,20050906213600,32,1,1146.9989,20050906213601,200509062136012,100,100,99,99,99,99
2006,3340,11,1158.7032,20050906213600,32,2,1158.7032,20050906213602,200509062136022,100,100,99,99,99,99
2006,3340,11,1158.7032,20050906213600,32,3,1079.5987,20050906213603,200509062136031,100,100,99,99,99,99
2006,3341,11,1173.4368,20060903846500,32,1,1173.4368,20060903846501,200609038465011,100,100,1,2,99,4
2006,3343,11,1615.0418,20050900589100,32,1,1122.2904,20050900589101,200509005891011,100,0,1,2,99,5
2006,3343,11,1615.0418,20050900589100,32,2,1615.0418,20050900589102,200509005891021,651,0,99,99,99,99
2006,3344,11,1063.9901,20051006806800,32,1,1063.9901,20051006806801,200510068068011,100,0,1,2,99,7
2006,3344,11,1063.9901,20051006806800,32,2,1282.6904,20051006806802,200510068068021,652,0,1,2,99,7
2006,3344,11,1063.9901,20051006806800,32,3,1759.3206,20051006806803,200510068068031,804,0,99,99,99,99
